event_type,risk_band,customer_segment,action,max_fpr,notes,updated_by,updated_at
signup,low,new_user,allow,0.015,Low risk new signups auto-allow,owner@example.com,2025-09-16 19:10:45.291791+00:00
signup,med,new_user,step_up,0.015,OTP or email link,owner@example.com,2025-09-16 19:10:45.291791+00:00
signup,high,new_user,review,0.01,Analyst review spikes,owner@example.com,2025-09-16 19:10:45.291791+00:00
signup,critical,new_user,deny,0.005,Known-bad patterns,owner@example.com,2025-09-16 19:10:45.291791+00:00
login,low,returning,allow,0.01,Trusted device ok,owner@example.com,2025-09-16 19:10:45.291791+00:00
login,med,returning,step_up,0.01,Step-up on anomaly,owner@example.com,2025-09-16 19:10:45.291791+00:00
login,high,returning,review,0.008,Manual check,owner@example.com,2025-09-16 19:10:45.291791+00:00
login,critical,returning,deny,0.005,Credential stuffing,owner@example.com,2025-09-16 19:10:45.291791+00:00
payment,low,vip,allow,0.005,VIP low-risk auto-allow,owner@example.com,2025-09-16 19:10:45.291791+00:00
payment,med,vip,step_up,0.005,Light KBA/OTP,owner@example.com,2025-09-16 19:10:45.291791+00:00
payment,high,vip,review,0.004,Analyst must approve,owner@example.com,2025-09-16 19:10:45.291791+00:00
payment,critical,vip,deny,0.002,BIN/IP/device on blocklist,owner@example.com,2025-09-16 19:10:45.291791+00:00
refund,low,country=BD,allow,0.01,Local refunds ok,owner@example.com,2025-09-16 19:10:45.291791+00:00
refund,med,country=BD,review,0.01,Refund abuse watch,owner@example.com,2025-09-16 19:10:45.291791+00:00
refund,high,country=BD,review,0.008,Escalate to ops,owner@example.com,2025-09-16 19:10:45.291791+00:00
refund,critical,country=BD,deny,0.005,Chargeback ring,owner@example.com,2025-09-16 19:10:45.291791+00:00
transfer,low,country!=BD,allow,0.01,Cross-border low risk,owner@example.com,2025-09-16 19:10:45.291791+00:00
transfer,med,country!=BD,step_up,0.01,KYC re-check,owner@example.com,2025-09-16 19:10:45.291791+00:00
transfer,high,country!=BD,review,0.008,Larger amounts,owner@example.com,2025-09-16 19:10:45.291791+00:00
transfer,critical,country!=BD,deny,0.005,High-risk corridors,owner@example.com,2025-09-16 19:10:45.291791+00:00
